pID,UTC,Prd,PrdNorm,Irr
Ortona,2024-02-18 07:00:00+00:00,62514.98333333325,0.02771110795975462,27.953808333333335
Ortona,2024-02-18 08:00:00+00:00,412304.36249999993,0.18243612342323354,214.1771916666666
Ortona,2024-02-18 09:00:00+00:00,833388.145,0.36896254197710465,479.93521666666646
Ortona,2024-02-18 10:00:00+00:00,774879.8899999999,0.34310877724899413,428.277175
Ortona,2024-02-18 11:00:00+00:00,1026962.3441666667,0.45479175456303206,571.6425666666668
Ortona,2024-02-18 12:00:00+00:00,1224514.9241666668,0.5422378464180474,683.8453999999999
Ortona,2024-02-18 13:00:00+00:00,1244855.7166666668,0.5513544328733742,675.923825
Ortona,2024-02-18 14:00:00+00:00,1041070.4166666666,0.461309889501031,542.8071666666666
Ortona,2024-02-18 15:00:00+00:00,332511.6099999999,0.14720719305390087,197.063575
Ortona,2024-02-18 16:00:00+00:00,152594.33083333325,0.0676336218442542,99.41472499999999
Ortona,2024-02-18 17:00:00+00:00,24044.885833333243,0.010654126810599653,14.90985
Ortona,2024-02-18 18:00:00+00:00,0.0,0.0,0.3160583333333332
Ortona,2024-02-18 19:00:00+00:00,0.0,0.0,0.306425
Ortona,2024-02-18 20:00:00+00:00,0.0,0.0,0.2990583333333333
Ortona,2024-02-18 21:00:00+00:00,0.0,0.0,0.2987749999999999
Ortona,2024-02-18 22:00:00+00:00,0.0,0.0,0.287725
Ortona,2024-02-18 23:00:00+00:00,0.0,0.0,0.28021666666666656
Ortona,2024-02-19 00:00:00+00:00,0.0,0.0,0.31583333333333324
Ortona,2024-02-19 01:00:00+00:00,0.0,0.0,0.364
Ortona,2024-02-19 02:00:00+00:00,0.0,0.0,0.30550000000000005
Ortona,2024-02-19 03:00:00+00:00,0.0,0.0,0.30533333333333335
Ortona,2024-02-19 04:00:00+00:00,0.0,0.0,0.2963333333333332
Ortona,2024-02-19 05:00:00+00:00,0.0,0.0,0.29083333333333333
Ortona,2024-02-19 06:00:00+00:00,2768.48249999988,0.0012278969251768202,1.2733333333333334
Ortona,2024-02-19 07:00:00+00:00,87297.12083333322,0.03868631958212415,40.067666666666675
Ortona,2024-02-19 08:00:00+00:00,390537.49999999994,0.17330767881513495,205.4978333333333
Ortona,2024-02-19 09:00:00+00:00,615730.5683333332,0.27285801730916004,344.43450000000007
Ortona,2024-02-19 10:00:00+00:00,851534.5758333333,0.377415559063491,459.24783333333323
Ortona,2024-02-19 11:00:00+00:00,889650.8983333333,0.39430603215633553,473.89799999999997
Ortona,2024-02-19 12:00:00+00:00,663966.1849999999,0.29439112497901426,332.2635
Ortona,2024-02-19 13:00:00+00:00,1160080.8116666668,0.5141405121830097,607.1233333333332
Ortona,2024-02-19 14:00:00+00:00,807477.33,0.3579279731509578,434.7875000000001
Ortona,2024-02-19 15:00:00+00:00,500034.7349999999,0.22167628103609474,282.3736666666666
Ortona,2024-02-19 16:00:00+00:00,258771.55916666656,0.11465635045062401,160.53633333333335
Ortona,2024-02-19 17:00:00+00:00,26759.384166666543,0.011867979052688315,16.32633333333333
Ortona,2024-02-19 18:00:00+00:00,0.0,0.0,0.3468333333333334
